Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Last_Update
9097,Doctor Who: Return to Earth,Wii,Asylum Entertainment,Asylum Entertainment,,,0.18,2010,
9098,Chocobo no Fushigi Dungeon for WonderSwan,WS,Bandai,SquareSoft,,,0.18,1999,
9099,International Superstar Soccer 2000 (JP weekly sales),N64,Konami,KCEO,,,0.18,2000,
9100,Klonoa: Door to Phantomile,PS,Namco,Namco,8,,0.18,1998,
9101,Marvel Super Hero Squad: Comic Combat,Wii,THQ,THQ,,,0.18,2011,
9102,Vietcong: Purple Haze,PS2,Gathering of Developers,Coyote Developments,5,,0.18,2004,
9103,Atari Anniversary Advance,GBA,Atari,Digital Eclipse,7.7,,0.18,2002,
9104,Summer Athletics: The Ultimate Challenge,PS2,Conspiracy Entertainment,49Games,5.2,,0.18,2008,
9105,Alone In The Dark,Wii,Atari,Hydravision Entertainment,3.1,,0.18,2008,
9106,Hatsune Miku and Future Stars: Project Mirai,3DS,Sega,Unknown,,,0.18,2012,
9107,Jeopardy!,DS,THQ,Griptonite Games,,,0.18,2010,
9108,Digimon Story: Cyber Sleuth,PSV,Namco Bandai Games,Media.Vision,,,0.18,2016,22nd Jan 18
9109,Peggle Nights,PC,PopCap Games,PopCap Games,7.8,,0.18,2008,
9110,The Last Airbender,DS,THQ,THQ,,,0.18,2010,
9111,X-Men Origins: Wolverine,PS2,Activision,Amaze Entertainment,4.5,,0.18,2009,
9112,TalkMan (Japan),PSP,Sony Computer Entertainment,Sony Computer Entertainment,,,0.18,2005,
9113,Big Hero 6: Battle in the Bay,3DS,GameMill,GameMill,,,0.18,2014,30th Jun 18
9114,Bloody Roar: Primal Fury,GC,Activision,Eighting / Raizing,7.9,,0.18,2002,
9115,Mega Man Soccer,SNES,Capcom,Capcom,,,0.18,1994,
9116,You Don't Know Jack,PS3,THQ,"Jellyvision, Inc.",8.2,,0.18,2011,
9117,Anarchy Reigns,X360,Sega,PlatinumGames,5.9,,0.18,2013,
9118,Call of Juarez,X360,Ubisoft,Techland,6.9,,0.18,2007,
9119,Backbreaker,X360,505 Games,NaturalMotion Games,5.2,,0.18,2010,
9120,Deus Ex: The Fall,PC,Square Enix,Unknown,4.5,3,0.18,2014,
9121,The Elder Scrolls IV: Shivering Isles,X360,Bethesda Softworks,Bethesda Softworks,8.9,,0.18,2007,
9122,Resident Evil: Revelations,PS4,Capcom,Capcom,7.2,7.2,0.18,2017,16th Mar 18
9123,FIFA 07 Soccer,GC,EA Sports,EA Canada,8.3,7.6,0.18,2006,
9124,Rio,Wii,THQ,TBA,,,0.18,2011,
9125,Rabbids Party Collection,Wii,Ubisoft,Ubisoft Montpellier,,,0.18,2010,
9126,Call of Duty: World at War,PC,Activision,Treyarch,8.6,,0.18,2008,
9127,Pokemon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,Nintendo,Nintendo,,,0.18,2004,
9128,Vampire Savior: The Lord of Vampire,SAT,Capcom,Capcom,,,0.18,1998,
9129,Might & Magic: Clash of Heroes,DS,Ubisoft,Capybara Games,8.6,,0.18,2009,
9130,Grand Slam Tennis 2,X360,EA Sports,EA Sports,8.5,,0.18,2012,
9131,Shrek SuperSlam,DS,Activision,Amaze Entertainment / Griptonite Games,4.5,,0.18,2005,
9132,Space Run,PC,Focus Home Interactive,Unknown,7.3,7.6,0.18,2014,
9133,Super Robot Wars UX,3DS,Namco Bandai Games,Banpresto,,,0.18,2013,04th Nov 18
9134,Lovely Planet,PC,TinyBuild Games,QUICKTEQUILA,,,0.18,2014,08th Aug 18
9135,Six Flags Fun Park,DS,Brash Entertainment,7 Studios,3.5,,0.18,2008,
9136,Test Drive Off-Road Wide Open,XB,Infogrames,Rockstar San Diego,,,0.18,2001,
9137,RollerCoaster Tycoon World,PC,Atari,Nvizzio Creations,4.3,2.1,0.18,2016,22nd Sep 18
9138,Sing4: The Hits Edition,Wii,Crave Entertainment,Crave,,,0.18,2011,
9139,de Blob 2,Wii,THQ,Blue Tongue,8.1,,0.18,2011,
9140,Pro Yakyuu Spirits 2011,PS3,Konami,PawaPuro Production,,,0.18,2011,
9141,Multiwinia,PC,Independent,Introversion Software,,,0.18,2008,
9142,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",DS,Buena Vista,Griptonite Games,7.2,,0.18,2005,
9143,Battle Commander: Hachibushu Shura no Heihou,SNES,Banpresto,Banpresto,,,0.18,1991,
9144,Senran Kagura 2: Deep Crimson,3DS,Marvelous Entertainment,Tamsoft,5.8,6.5,0.18,2015,14th Oct 18
9145,Bad Boys: Miami Takedown,XB,Crave Entertainment,Blitz Games,3.6,,0.18,2004,
9146,Jampack Vol. 1,PS,Sony Computer Entertainment,Sony Computer Entertainment America,,,0.18,1997,
9147,Bomber Crew,PC,Curve Digital,Runner Duck,7.5,7.3,0.18,2017,03rd Jan 19
9148,The Chronicles of Narnia: Prince Caspian,X360,Disney Interactive Studios,Traveller's Tales,6.3,,0.18,2008,
9149,Mega Man X: Command Mission,PS2,Capcom,Capcom,8.3,,0.18,2004,
9150,Tokyo Xtreme Racer DRIFT,PS2,Crave Entertainment,Genki,4.5,,0.18,2006,
9151,Moon,PS,ASCII Entertainment,Lovedelic,,,0.18,1997,
9152,Call of Duty: Modern Warfare Trilogy,X360,Activision,Infinity Ward,,,0.18,2016,14th Jan 18
9153,Mobile Suit Gundam: Extreme VS Force,PSV,Namco Bandai Games,Namco Bandai Games,,,0.18,2017,30th Jun 18
9154,Cabela's Big Game Hunter 2005 Adventures,XB,Activision,FUN Labs,,,0.18,2004,
9155,Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,Nippon Columbia,Nippon Columbia,,,0.18,2014,
9156,Re-Volt,N64,Acclaim Entertainment,Probe Entertainment Limited,4.8,,0.18,1999,
9157,Sesame Street: Elmo's Letter Adventure,N64,NewKidCo,Realtime Associates,,,0.18,1999,
9158,Metal Gear Ac!d 2,PSP,Konami,Kojima Productions,8.3,,0.18,2006,
9159,Gokujou Parodius,SNES,Konami,Konami,,,0.18,1994,
9160,Pure Futbol,X360,Ubisoft,Ubisoft Vancouver,3.8,,0.18,2010,
9161,Gauntlet: Dark Legacy,GC,Midway Games,Midway Games West,5,,0.18,2002,
9162,A.C.E.: Another Century's Episode 2,PS2,Banpresto,From Software,,,0.18,2006,
9163,Pro Evolution Soccer 2013,3DS,Konami Digital Entertainment,Konami,,,0.18,2013,12th Jan 18
9164,Shadow The Hedgehog,XB,Sega,Sonic Team,5,,0.18,2005,
9165,Squeeballs Party,DS,Aksys Games,Eiconic Games,3.1,,0.18,2009,
9166,Krater,PC,Unknown,Fatshark,5,7.1,0.18,2012,
9167,Ben 10 Ultimate Alien: Cosmic Destruction,X360,D3 Publisher,Papaya Studios,,,0.18,2010,
9168,Shaun White Skateboarding,Wii,Ubisoft,Ubisoft Montreal,,,0.18,2010,
9169,World of Outlaws: Sprint Cars,X360,THQ,Big Ant Studios,4.5,,0.18,2010,
9170,SoulCalibur Legends,Wii,Namco Bandai,Project Soul,4.8,,0.18,2007,
9171,Batman: Vengeance,GBA,Ubisoft,Ubisoft,6.2,,0.18,2001,
9172,Trinity Universe,PS3,NIS America,Nippon Ichi Software / Gust,6.2,,0.18,2010,
9173,MLB 11: The Show,PSP,Sony Computer Entertainment,SCEA San Diego Studios,,,0.18,2011,
9174,Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,Sega,Smilebit,,,0.18,2000,
9175,Spider-Man: Friend or Foe,PSP,Activision,Artificial Mind and Movement,5,,0.18,2007,
9176,The Adventures of Cookie & Cream,PS2,Agetec,From Software,,,0.18,2001,
9177,Enemy Front,PC,City Interactive,City Interactive,5.2,5.7,0.18,2014,03rd Jan 19
9178,Van Helsing,XB,VU Games,Saffire Corporation,6.5,,0.18,2007,
9179,Hatsune Miku: Project Diva X,PSV,Sega,Sega,,,0.18,2016,30th Jun 18
9180,Gun,GC,Activision,Neversoft Entertainment,7.9,,0.18,2005,
9181,Star Wars Battlefront II,PC,LucasArts,Pandemic Studios,7,1,0.18,2005,
9182,F1 Challenge,SAT,Virgin Interactive,Bell Corporation,,,0.18,1996,
9183,Hellboy: The Science of Evil,PS3,Konami,Krome Studios,3.5,,0.18,2008,
9184,How to Train Your Dragon,PS3,Activision,Etranges Libellules,4.6,,0.18,2010,
9185,One Piece: Pirate Warriors 3,PSV,Tecmo Koei,Omega Force,,,0.18,2015,12th Jan 18
9186,DiRT Showdown,PS3,Codemasters,Codemasters,,,0.18,2012,29th Oct 18
9187,Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2K Play,2K Games,,,0.18,2009,
9188,Shadow Madness,PS,Crave Entertainment,Crave Entertainment,7,,0.18,1999,
9189,Zumba Fitness Rush,X360,Majesco Entertainment,Majesco Entertainment,,,0.18,2012,04th Nov 18
9190,Senran Kagura: Estival Versus,PS4,Xseed Games,Marvelous Entertainment,6.7,7.6,0.18,2016,29th Jun 18
9191,Danganronpa 2: Goodbye Despair,PC,Spike Chunsoft,Spike Chunsoft,,,0.18,2016,17th Dec 18
9192,Back to the Future: The Game,PS4,Telltale Games,Telltale Games,,,0.18,2015,23rd Apr 18
9193,Tiger Woods PGA Tour 2004,GBA,EA Sports,Digital?ÿEclipse,8,,0.18,2003,
9194,Marvel Super Hero Squad: Comic Combat,X360,THQ,THQ,,,0.18,2011,
9195,The Game of Life / Yahtzee / Payday,GBA,DSI Games,Black Lantern Studios,,,0.18,2005,
9196,American Chopper 2: Full Throttle,PS2,Activision,Creat Studio,6,,0.18,2005,
9197,Despicable Me: The Game,PSP,D3 Publisher,Monkey Bar Games,,,0.18,2010,
9198,Silent Hill 4: The Room,XB,Konami,KCET,8,,0.18,2004,
9199,Commandos 2: Men of Courage,PS2,Eidos Interactive,Pyro Studios,7,,0.18,2002,
9200,Mega Man III,GB,Capcom,Capcom,,,0.18,1992,
9201,Yu-Gi-Oh! Legacy of the Duelist,PC,Konami,Other Ocean Interactive,,,0.18,2016,20th Apr 19
9202,Brink,PC,Bethesda Softworks,Splash Damage,7,6,0.18,2011,
9203,Burnout Legends,DS,Electronic Arts,Visual Impact,3.8,,0.18,2005,
9204,Pirates: Hunt For Blackbeard's Booty,Wii,Activision,Activision,,,0.18,2008,
9205,Escape the Museum,DS,GameMill,Gogii Games,,,0.18,2010,
9206,FIFA Soccer 2002,GC,EA Sports,EA Canada,8.6,,0.18,2001,
9207,Otomedius Excellent,X360,Konami,Konami,7,,0.18,2011,
9208,Atari Anniversary Edition Redux,PS,Infogrames,Digital Eclipse,,,0.18,2001,
9209,Splatterhouse,X360,Namco Bandai,BottleRocket,,,0.18,2010,
9210,Toukiden,PSP,Tecmo Koei,Omega Force,,,0.18,2013,04th Nov 18
9211,Danganronpa V3: Killing Harmony,PSV,NIS America,Spike Chunsoft,8,7.7,0.18,2017,03rd Jan 18
9212,Fireblade,PS2,Midway Games,Kuju Entertainment,7.7,,0.18,2002,
9213,Cabela's Big Game Hunter: Hunting Party,X360,Activision,Activision,,,0.18,2011,
9214,Sega Genesis Classics,NS,Sega,Sega,7.9,8.1,0.18,2018,22nd Sep 18
9215,Disney's Tarzan Untamed,GC,Ubisoft,Ubisoft Montreal,,,0.18,2001,
9216,Hello Kitty: Birthday Adventures,DS,Zoo Games,OneNine Studios,,,0.18,2010,
9217,Brunswick Circuit Pro Bowling,PS,THQ,Adrenalin Entertainment,8.2,,0.18,1998,
9218,Chuck E. Cheese's Party Games,DS,UFO Interactive,"Black Lantern Studios, Inc.",,,0.18,2010,
9219,Naruto Shippuden: Dragon Blade Chronicles,Wii,Atlus,8ing/Raizing,4.3,,0.18,2010,
9220,Cabela's Dangerous Hunts 2009,PS2,Activision,Activision,,,0.18,2008,
9221,Cities: Skylines,XOne,Koch Media,Colossal Order,,,0.18,2017,14th Jan 18
9222,Ball Breakers,PS,Take-Two Interactive,Lost Toys,7.5,,0.18,2000,
9223,MindJack,PS3,Square Enix,FeelPlus,4.6,,0.18,2011,
9224,Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,Bandai,Bandai,,,0.18,2005,
9225,EyeToy: Groove,PS2,Sony Computer Entertainment,SCEE London Studio,7.5,,0.18,2004,
9226,Lips: Party Classics,X360,Microsoft Game Studios,iNiS,7.3,,0.18,2010,
9227,Twisted Metal: Small Brawl,PS,Sony Computer Entertainment,Incognito Inc.,4.5,,0.18,2001,
9228,Charlie and the Chocolate Factory,GC,Global Star Software,High Voltage Software,3.9,,0.18,2005,
9229,Armored Core: Last Raven,PS2,Agetec,From Software,6.4,,0.18,2006,
9230,College Hoops 2K7,PS3,2K Sports,Visual Concepts,8.2,,0.18,2007,
9231,Tomb Raider: Underworld,PS2,Eidos Interactive,Crystal Dynamics,,,0.18,2009,
9232,Full Auto 2: Battlelines,PS3,Sega,Pseudo Interactive,6.7,,0.18,2006,
9233,DogFighter,PC,Unknown,"Dark Water Studios, Ltd.",,,0.18,2010,
9234,All Grown Up! Express Yourself,GBA,THQ,Altron,3.7,,0.18,2004,
9235,Cabela's Adventure Camp,Wii,Activision,Activision,,,0.18,2011,
9236,Monster 4x4: Stunt Racer,Wii,Ubisoft,Ubisoft Reflections,,,0.18,2009,
9237,K-1 World Grand Prix,PS2,Konami,Konami,8.3,,0.18,2003,
9238,Lego Star Wars: The Force Awakens,PSV,Warner Bros. Interactive Entertainment,TT Fusion,,,0.18,2016,31st Mar 18
9239,Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,Namco Bandai,Access Games,,,0.18,2009,
9240,Danganronpa 2: Goodbye Despair,PSV,NIS America,Spike Chunsoft,8.1,8.8,0.18,2014,11th Jan 18
9241,Super Robot Taisen A Portable,PSP,Namco Bandai,Banpresto,,,0.18,2008,
9242,Juiced,XB,THQ,Juice Games,6.8,,0.18,2005,
9243,WWE SmackDown vs. Raw 2009,DS,THQ,TOSE,7.5,,0.18,2008,
9244,FIFA Soccer 11,PC,EA Sports,HB Studios,8.4,,0.18,2010,
9245,Looney Tunes: Back in Action,GBA,Electronic Arts,Warthog,4.5,,0.18,2003,
9246,Tales of Maj'Eyal,PC,DarkGod,Unknown,,,0.18,2013,
9247,Yu-Gi-Oh! Zexal Clash! Duel Carnival!,3DS,Konami Digital Entertainment,Konami,,,0.18,2014,04th Nov 18
9248,Sniper: Ghost Warrior 3,XOne,City Interactive,City Interactive,5.7,6.3,0.18,2017,29th May 18
9249,Gish,PC,GarageGames,Chronic Logic,8.2,,0.18,2004,
9250,Virtua Tennis,GBA,THQ,Altron,9,,0.18,2002,
9251,Biohazard: Revival Selection,PS3,Capcom,Capcom,,,0.18,2011,
9252,SimCity Creator (JP sales),DS,Electronic Arts,The Sims Studio,,,0.18,2008,
9253,Tales of the Tempest,DS,Namco,Dimps Corporation,,,0.18,2006,
9254,Sonic Riders: Zero Gravity,PS2,Sega,Sonic Team,5.8,,0.18,2008,
9255,BlazBlue: Chrono Phantasma Extend,PC,"H2 Interactive Co., Ltd.",Arc System Works,8.5,7.6,0.18,2016,08th Apr 19
9256,UFC: Sudden Impact,PS2,Global Star Software,Opus Studio,,,0.18,2004,
9257,Dynasty Warriors: Gundam 3,X360,Tecmo Koei,Omega Force,6.5,,0.18,2011,
9258,NBA Hoopz,PS2,Midway Games,Eurocom Entertainment Software,4,,0.18,2001,
9259,Nancy Drew: The Hidden Staircase,DS,THQ,Gorilla Systems,,,0.18,2008,
9260,ESPN X Games Skateboarding,GBA,Konami,Konami Computer Entertainment Hawaii,5.7,,0.18,2001,
9261,College Hoops 2K8,X360,2K Sports,Visual Concepts,8.2,,0.18,2007,
9262,Speedball 2100,PS,Take-Two Interactive,Bitmap Brothers,7.4,,0.18,2000,
9263,Velvet Assassin,X360,SouthPeak Interactive,Replay Studios,5.3,,0.18,2009,
9264,EyePet & Friends,PS3,Sony Computer Entertainment,SCEE London Studio,,,0.18,2011,
9265,LEGO Island 2: The Brickster's Revenge,PS,LEGO Media,Silicon Dreams,,,0.18,2001,
9266,Backyard Basketball,GBA,Atari,Mistic Software,6,,0.18,2004,
9267,Madden NFL 09,XB,EA Sports,EA Tiburon,,,0.18,2008,
9268,Backbreaker,PS3,505 Games,NaturalMotion Games,5,,0.18,2010,
9269,Fancy Nancy: Tea Party Time!,DS,THQ,Webfoot Technologies,,,0.18,2010,
9270,How to Train Your Dragon 2,X360,Little Orbit,Torus Games,,,0.18,2014,17th Mar 18
9271,Scooby-Doo! Unmasked,GBA,THQ,Artificial Mind and Movement,,,0.18,2005,
9272,Summon Night 4,PS2,Banpresto,Flight-Plan,,,0.18,2006,
9273,NHL 2004,XB,EA Sports,EA Black Box,8.8,,0.18,2003,
9274,Pro Yakyuu Spirits 5,PS2,Konami,PawaPuro Production,,,0.18,2008,
9275,Namco Museum: 50th Anniversary,XB,Namco,Digital Eclipse,5,,0.18,2005,
9276,Country Dance: All Stars,X360,GameMill Entertainment,GameMill Entertainment,,,0.18,2012,04th Nov 18
9277,NFL 2K2,XB,Sega,Visual Concepts,8.3,,0.18,2002,
9278,NBA Starting Five,PS2,Konami,Konami,4,,0.18,2002,
9279,The Suffering: Ties That Bind,PS2,Midway Games,Surreal Software,8.1,,0.17,2005,
9280,EyeToy: Kinetic,PS2,Sony Computer Entertainment,SCEE London Studio,8,,0.17,2005,
9281,Project Spark,XOne,Microsoft Studios,Team Dakota,7.3,6.9,0.17,2014,09th Aug 18
9282,Army Men: Sarge's Heroes 2,PS2,3DO,3DO,4.5,,0.17,2001,
9283,Borderlands,PC,2K Games,Gearbox Software,8.3,,0.17,2009,
9284,Rapala Fishing Frenzy 2009,PS3,Activision,FUN Labs,2.5,,0.17,2008,
9285,Might & Magic Heroes VII,PC,Ubisoft,Limbic Software,,,0.17,2015,21st Sep 18
9286,Demon Gaze,PSV,NIS America,Unknown,7,7.5,0.17,2014,
9287,The Wild Thornberrys: Animal Adventures,PS,Mattel Interactive,Mattel Interactive,,,0.17,2000,
9288,Medieval II: Total War Kingdoms,PC,Sega,The Creative Assembly,8.2,,0.17,2007,
9289,SEGA Bass Fishing Duel,PS2,Sega,Wow Entertainment,7,,0.17,2002,
9290,Teen Titans,GBA,THQ,A2M,5.5,,0.17,2005,
9291,Time and Eternity,PS3,NIS America,imageepoch Inc.,5.6,,0.17,2013,28th Jan 18
9292,Pictionary,DS,THQ,ImaginEngine,,,0.17,2010,
9293,Petz: Horseshoe Ranch,DS,Ubisoft,Ubisoft,,,0.17,2009,
9294,Sports Illustrated for Kids: Baseball,GBA,BAM! Entertainment,Sennari Interactive,3.5,,0.17,2001,
9295,Mark Davis Pro Bass Challenge,PS2,Natsume,SIMS,,,0.17,2003,
9296,Rugrats: Royal Ransom,GC,THQ,Avalanche Software,,,0.17,2002,
9297,Jewel Match,DS,Atari,PlayV,,,0.17,2011,
9298,Winning Eleven: Pro Evolution Soccer 2007,DS,Konami,Konami Computer Entertainment Tokyo,6.1,,0.17,2007,
9299,Warriors of Might and Magic,PS2,3DO,3DO,5,,0.17,2001,
9300,Open Season,GC,Ubisoft,Ubisoft Montreal,6.4,,0.17,2006,
9301,The Walking Dead - The Telltale Series: A New Frontier,PS4,Warner Bros. Interactive Entertainment,Telltale Games,,,0.17,2017,
9302,Marvel Super Hero Squad: The Infinity Gauntlet,PS3,THQ,THQ,,,0.17,2010,
9303,Street Fighter: The Movie,PS,Acclaim Entertainment,Incredible Technologies,,,0.17,1995,
9304,Major League Baseball 2K9,PS3,2K Sports,Visual Concepts,6.8,,0.17,2009,
9305,Race Pro,X360,Atari,SimBin,7.7,,0.17,2009,
9306,Axiom Verge,PC,Thomas Happ Games,Thomas Happ Games,8,7.7,0.17,2015,
9307,Stormrise,PS3,Sega,The Creative Assembly,4.9,,0.17,2009,
9308,World Championship Poker,GBA,Crave Entertainment,Sensory Sweep Studios,,,0.17,2004,
9309,WordJong Party,Wii,Destineer,Magellan Interactive,7.3,,0.17,2008,
9310,Global Defence Force,PS2,Essential Games,Sandlot,,,0.17,2007,
9311,Skate it,DS,Electronic Arts,Exient Entertainment,,,0.17,2008,
9312,uDraw Studio: Instant Artist,Wii,THQ,THQ,,,0.17,2011,
9313,Major League Baseball 2K6,GC,2K Sports,Kush Games,6.2,,0.17,2006,
9314,SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,Square Enix,Square Enix,,,0.17,2009,
9315,Smash Court Tennis Pro Tournament,PS2,Namco,Namco,8,,0.17,2002,
9316,Super Robot Taisen L,DS,Namco Bandai,Banpresto,,,0.17,2010,
9317,The Grim Adventures of Billy & Mandy,GC,Midway Games,High Voltage Software,7.2,,0.17,2006,
9318,NBA Inside Drive 2004,XB,Microsoft Game Studios,High Voltage Software,8.4,,0.17,2003,
9319,The King of Fighters '97,PS,Trigger Apps,SNK Corporation,,,0.17,1998,
9320,Professional Fisherman's Tour: Northern Hemisphere,DS,UFO Interactive,Starfish,4.5,,0.17,2007,
9321,Time Commando,PS,Activision,Adeline Software,,,0.17,1996,
9322,Backyard Sports Football: Rookie Rush,DS,Atari,HB Studios,,,0.17,2010,
9323,Kekkaishi: Karasumori Ayakashi Kidan,DS,Namco Bandai,Bandai Namco Games,,,0.17,2007,
9324,Gretzky NHL 2005,PS2,Sony Computer Entertainment,Page 44 Studios,8.3,,0.17,2004,
9325,Company of Heroes: Anthology,PC,THQ,Relic,,,0.17,2009,
9326,Horrid Henry: Missions of Mischief,DS,SouthPeak Interactive,Asylum Entertainment,,,0.17,2010,
9327,Michael Jackson: The Experience 3D,3DS,Ubisoft,Longtail Studios,,,0.17,2011,
9328,Trauma Team,Wii,Atlus,Atlus Co.,8.1,,0.17,2010,
9329,Bendy and the Ink Machine,NS,Rooster Teeth Games,TheMeatly Games,,,0.17,2018,19th Dec 18
9330,The Chronicles of Narnia: Prince Caspian,PS3,Disney Interactive Studios,Traveller's Tales,6.3,,0.17,2008,
9331,The Hobbit,GC,Sierra Entertainment,Midway Studios - Austin,5,,0.17,2003,
9332,Apotheon,PC,AlienTrap Games,AlienTrap Games,7.8,7.7,0.17,2013,
9333,Cabela's Legendary Adventures,PSP,Activision,Sand Grain Studios,,,0.17,2008,
9334,Lost in Blue 3,DS,Konami,Konami,5.5,,0.17,2008,
9335,Cabela's Legendary Adventures,Wii,Activision,Magic Wand Productions,,,0.17,2008,
9336,True Crime: New York City,GC,Activision,EXAKT Entertainment,6.4,,0.17,2005,
9337,Metal Arms: Glitch in the System,XB,VU Games,Swingin' Ape Studios,8.3,,0.17,2003,
9338,X-Men: The Official Game,X360,Activision,"Z-Axis, Ltd.",4.9,,0.17,2006,
9339,Rush: A Disney Pixar Adventure,XOne,Microsoft Studios,Asobo Studio,,,0.17,2017,25th Sep 18
9340,The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,Namco Bandai Games,Bandai Namco Games,,,0.17,2012,04th Nov 18
9341,Iron Chef America: Supreme Cuisine,Wii,Destineer,Black Lantern Studios,2,,0.17,2008,
9342,Ice Age: Dawn of the Dinosaurs,PS2,Activision,Eurocom Entertainment Software,6.5,,0.17,2009,
9343,Pro Evolution Soccer 2014,PSP,Konami Digital Entertainment,Konami,,,0.17,2013,02nd Mar 18
9344,The Lord of the Rings: Aragorn's Quest,PS3,Warner Bros. Interactive,TT Fusion,6,,0.17,2010,
9345,ESPN Final Round Golf 2002,GBA,Konami,Konami Computer Entertainment Nagoya,6,,0.17,2001,
9346,MDK2 Armageddon,PS2,Interplay,BioWare Corp.,8.7,,0.17,2001,
9347,Exhibition Volume 02,XB,Microsoft,Various,,,0.17,2003,25th Sep 18
9348,Katamari Damacy Reroll,NS,Bandai Namco Entertainment,Bandai Namco Games,8.8,,0.17,2018,13th Sep 18
9349,Fight Night Round 2,GC,EA Sports,EA Sports,8.4,,0.17,2005,
9350,NHL 2K9,X360,2K Sports,Visual Concepts,8,,0.17,2008,
9351,Mega Man 11,PS4,Capcom,Capcom,8.2,8,0.17,2018,04th Jun 18
9352,Disney's Atlantis: The Lost Empire,PS,Sony Computer Entertainment,Eurocom Entertainment Software,,,0.17,2001,
9353,Power Pro Kun Pocket,GB,Konami,Diamond Head,,,0.17,1999,
9354,The King of Fighters '97,SAT,SNK,SNK Corporation,,,0.17,1998,
9355,Tamagotchi no Narikiri Challenge,DS,Namco Bandai,Bandai Namco Games,,,0.17,2010,
9356,Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,Bandai,Bandai,,,0.17,1999,
9357,Sound Novel Evolution 1: Otogirisou Sosei-Hen,PS,ChunSoft,ChunSoft,,,0.17,1999,
9358,Let's TAP,Wii,Sega,PROPE,7,,0.17,2009,
9359,Psi-Ops: The Mindgate Conspiracy,XB,Midway Games,Midway Games,8.5,,0.17,2004,
9360,SWAT: Global Strike Team,XB,Sierra Entertainment,Argonaut Games,6.6,,0.17,2003,
9361,SingStar Motown,PS3,Sony Computer Entertainment,SCEE London Studio,,,0.17,2009,
9362,Hitman: HD Trilogy,X360,Square Enix,Unknown,,,0.17,2013,
9363,Goblin Commander: Unleash the Horde,PS2,Jaleco,Jaleco Entertainment,7.4,,0.17,2003,
9364,MX World Tour Featuring Jamie Little,PS2,Crave Entertainment,Impulse Games,,,0.17,2005,
9365,Dragon Quest X,3DS,Square Enix,Square Enix,,,0.17,2014,22nd Apr 18
9366,Hello Kitty: Happy Party Pals,GBA,THQ,ValuSoft,,,0.17,2005,
9367,Pursuit Force: Extreme Justice,PSP,Sony Computer Entertainment,Bigbig Studios,7.4,,0.17,2008,
9368,Broken Sword: Shadows of the Templars - The Director's Cut,DS,Ubisoft,Revolution Software,,,0.17,2009,
9369,Backyard NFL Football '09,PS2,Atari,Humongous Entertainment,,,0.17,2008,
9370,We Sing UK Hits,Wii,Nordic Games,Le Cortex,,,0.17,2011,
9371,World Destruction League: Thunder Tanks,PS2,3DO,3DO,8,,0.17,2000,
9372,Resident Evil 6,PS4,Capcom,Capcom,6,6.6,0.17,2016,30th Mar 18
9373,The Secret World,PC,Electronic Arts,Funcom,7.4,8.3,0.17,2012,04th Nov 18
9374,Backyard Baseball '10,PS2,Atari,Atari,,,0.17,2009,
9375,Professor Heinz Wolff's Gravity,Wii,Deep Silver,EM Studios,5.9,,0.17,2009,
9376,Transformers: Dark of the Moon,Wii,Activision,Behaviour Interactive Inc.,3,,0.17,2011,
9377,Jikkyou Powerful Pro Yakyuu 2013,PSP,Konami Digital Entertainment,Konami,,,0.17,2013,27th Oct 18
9378,The King of Fighters '95,PS,Sony Computer Entertainment,SNK Corporation,5,,0.17,1996,
9379,Jikkyou Powerful Pro Yakyuu 2014,PS3,Konami Digital Entertainment,Konami Digital Entertainment,,,0.17,2014,01st May 18
9380,RoadKill,PS2,Midway Games,Terminal Reality,7.7,,0.17,2003,
9381,Hanjuku Eiyuu Tai 3D,PS2,Square Enix,Square Enix,,,0.17,2003,
9382,.hack//G.U. Vol.3//Redemption,PS2,Namco Bandai,CyberConnect2,5.7,,0.17,2007,
9383,Super Robot Taisen Compact 2 Dai-1-Bu,WS,Bandai,Bandai,,,0.17,2000,
9384,FaceBreaker,PS3,EA Sports,EA Canada,5,,0.17,2008,
9385,Ridge Racer Unbounded,PS3,Namco Bandai Games,Bugbear Entertainment,,,0.17,2012,
9386,Darkwood,PC,Acid Wizard Studio,Unknown,8,8.4,0.17,2014,
9387,Looney Tunes: Back in Action,GC,Warner Bros. Interactive,Warthog,,,0.17,2003,
9388,Tak: The Great Juju Challenge,GBA,THQ,WayForward,,,0.17,2005,
9389,Captain America: Super Soldier,X360,Sega,Next Level Games,5.9,,0.17,2011,
9390,MotoGP 10/11,PS3,Capcom,Monumental Games,6,,0.17,2011,
9391,Macross Ultimate Frontier,PSP,Namco Bandai,ArtDink,,,0.17,2009,
