Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Last_Update
130,FIFA 16,PS4,EA Sports,EA Canada,8.5,4.4,8.22,2015,01st Apr 18
131,The Last of Us,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,,8.15,2013,24th Sep 18
132,GoldenEye 007,N64,Nintendo,Rare Ltd.,9.8,,8.09,1997,
133,Star Wars Battlefront (2015),PS4,Electronic Arts,EA DICE,7.1,,8.03,2015,24th Mar 18
134,FIFA 13,PS3,EA Sports,EA Canada,,,8.01,2012,06th Apr 18
135,Halo 2,XB,Microsoft Game Studios,Bungie Studios,9.6,,8,2004,11th Oct 18
136,The Sims 3,PC,Electronic Arts,EA Redwood Shores,8.5,,7.96,2009,
137,Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games,Rockstar Leeds,8.8,,7.72,2005,
138,Pac-Man,2600,Atari,Atari,,,7.7,1982,
139,God of War III,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,9.2,9.4,7.6,2010,
140,Pokemon Platinum Version,DS,Nintendo,Game Freak,8.3,8.9,7.6,2009,
141,The Legend of Zelda: Ocarina of Time,N64,Nintendo,Nintendo EAD,9.9,10,7.6,1998,
142,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,Naughty Dog,8.6,,7.58,1997,
143,Call of Duty: Advanced Warfare,PS4,Activision,Sledgehammer Games,8.5,5.7,7.53,2014,04th Jan 18
144,Call of Duty: World at War,X360,Activision,Treyarch,8.5,7.8,7.5,2008,
145,Super Mario Bros. 2,NES,Nintendo,Nintendo EAD,,,7.46,1988,
146,Super Mario Galaxy 2,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.8,7.41,2010,
147,Super Smash Bros. Melee,GC,Nintendo,HAL Laboratory,9.2,,7.41,2001,
148,Call of Duty: Black Ops 3,XOne,Activision,Treyarch,,,7.37,2015,14th Jan 18
149,Battlefield 3,X360,Electronic Arts,Dice,8.5,,7.35,2011,
150,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo,Level 5,,,7.29,2016,26th Jan 19
151,The Legend of Zelda: Twilight Princess,Wii,Nintendo,Nintendo EAD,9.5,9.6,7.26,2006,
152,Battlefield 1,PS4,Electronic Arts,EA DICE,9.1,7.9,7.26,2016,24th Mar 18
153,Battlefield 3,PS3,Electronic Arts,Dice,8.5,,7.21,2011,
154,Need for Speed Underground,PS2,Electronic Arts,EA Black Box,8.6,,7.2,2003,
155,The Binding of Isaac,PC,Edmund McMillen,Edmund McMillen,8.3,8.4,7.17,2011,01st Dec 18
156,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,Naughty Dog,9.3,,7.13,1998,24th Sep 18
157,Pokemon Emerald Version,GBA,Nintendo,Game Freak,7.7,,7.06,2005,
158,Guild Wars 2,PC,NCSoft,ArenaNet,9,8.1,7,2012,
159,Need for Speed Underground 2,PS2,Electronic Arts,EA Black Box,8.3,,6.9,2004,
160,Just Dance 4,Wii,Ubisoft,Ubisoft,,,6.89,2012,31st Jan 18
161,Mario Kart: Double Dash!!,GC,Nintendo,Nintendo EAD,8.5,,6.88,2003,
162,Medal of Honor: Frontline,PS2,Electronic Arts,EA Los Angeles,9,,6.83,2002,
163,Crash Bandicoot,PS,Sony Computer Entertainment,Naughty Dog,7.8,,6.82,1996,
164,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,Naughty Dog,9.5,9.6,6.74,2009,
165,Call of Duty 4: Modern Warfare,PS3,Activision,Infinity Ward,9.5,9.6,6.72,2007,
166,FIFA Soccer 12,PS3,EA Sports,EA Canada,9.2,,6.65,2011,
167,FIFA 14,PS3,EA Sports,EA Canada,9,,6.61,2013,15th Sep 18
168,Fallout 4,PC,Bethesda Softworks,Bethesda Game Studios,9,5.5,6.6,2015,24th Mar 18
169,New Super Mario Bros. U Deluxe,NS,Nintendo,Nintendo EPD,8,6.6,6.6,2019,23rd Mar 19
170,Tomodachi Life,3DS,Nintendo,Nintendo,7.8,7.6,6.59,2014,05th Jan 18
171,Red Dead Redemption,PS3,Rockstar Games,Rockstar San Diego,9.5,,6.57,2011,
172,Donkey Kong Country Returns,Wii,Nintendo,Retro Studios,8.6,,6.53,2010,
173,The Legend of Zelda,NES,Nintendo,Nintendo EAD,,,6.51,1987,
174,Assassin's Creed III,PS3,Ubisoft,Ubisoft Montreal,8.8,,6.5,2012,12th Apr 18
175,Guild Wars,PC,NCSoft,ArenaNet,8.7,,6.5,2005,
176,Red Dead Redemption,X360,Rockstar Games,Rockstar San Diego,9.5,10,6.5,2010,
177,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Bethesda Game Studios,9,,6.49,2011,01st Apr 18
178,Final Fantasy XII,PS2,Square Enix,Square Enix,9.4,9.5,6.4,2006,
179,Pokemon Crystal Version,GBC,Nintendo,Game Freak,8.7,,6.39,2001,06th Jan 18
180,Halo 3: ODST,X360,Microsoft Game Studios,Bungie,8.7,,6.35,2009,11th Oct 18
181,Minecraft,PS4,Sony Computer Entertainment,Mojang,9.4,,6.33,2014,14th Sep 18
182,Luigi's Mansion 3,NS,Nintendo,"Next Level Games, Inc.",,,6.33,2019,11th Jun 19
183,FIFA 15,PS4,EA Sports,EA Canada,8.1,5.7,6.32,2014,23rd Mar 18
184,Kingdom Hearts,PS2,Square EA,SquareSoft,8.5,,6.3,2002,
185,Myst,PC,Broderbund,Cyan Worlds,8.9,,6.3,1995,
186,Street Fighter II: The World Warrior,SNES,Capcom,Capcom,,,6.3,1992,
187,Driver,PS,GT Interactive,Reflections Interactive,8.5,,6.27,1999,
188,Call of Duty: WWII,XOne,Activision,Sledgehammer Games,8,4,6.23,2017,30th Dec 17
189,Luigi's Mansion: Dark Moon,3DS,Nintendo,Next Level Games,8.6,8.5,6.16,2013,01st Jan 18
190,Big Brain Academy,DS,Nintendo,Nintendo EAD,7.7,,6.15,2006,
191,Minecraft,PS3,Sony Computer Entertainment America,Mojang,9.5,,6.05,2014,05th Aug 18
192,Metal Gear Solid 2: Sons of Liberty,PS2,Konami,Konami Computer Entertainment Japan,9.5,7,6.05,2001,
193,The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo,GREZZO,9.3,9,6.02,2011,
194,Cities: Skylines,PC,Paradox Interactive,Colossal Order,8.5,8.9,6,2015,14th Jan 18
195,Metal Gear Solid,PS,Konami,Konami Computer Entertainment Japan,9.3,,6,1998,
196,Sonic the Hedgehog 2,GEN,Sega,Sonic Team,,,6,1992,
197,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami,Kojima Productions,9.3,9.8,6,2008,
198,Euro Truck Simulator 2,PC,SCS Software,SCS Software,8.5,8.7,5.98,2013,31st Dec 17
199,Mario Kart: Super Circuit,GBA,Nintendo,Intelligent Systems,9.3,,5.91,2001,
200,Super Mario Sunshine,GC,Nintendo,Nintendo EAD,9.2,,5.91,2002,
201,Super Mario 3D World,WiiU,Nintendo,Nintendo EAD Tokyo,9.5,8.9,5.84,2013,02nd Jan 18
202,Age of Empires II: HD Edition,PC,Microsoft Studios,Hidden Path Entertainment,6.8,7.9,5.82,2013,02nd Oct 18
203,New Super Mario Bros. U,WiiU,Nintendo,Nintendo EAD,8.4,8,5.8,2012,20th Mar 18
204,Link's Crossbow Training,Wii,Nintendo,Nintendo EAD,6.9,,5.79,2007,
205,Red Dead Redemption 2,XOne,Rockstar Games,Rockstar Games,9.7,7.4,5.77,2018,02nd Nov 18
206,Destiny,PS4,Activision,Bungie,7.6,6.1,5.76,2014,12th Jan 18
207,Tekken 2,PS,Namco,Namco,9.1,,5.74,1996,
208,Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,Bluepoint Games,8.6,8.5,5.7,2015,
209,Super Mario World: Super Mario Advance 2,GBA,Nintendo,Nintendo EAD,9.4,,5.69,2002,
210,LEGO Star Wars: The Complete Saga,Wii,LucasArts,Traveller's Tales,8,,5.66,2007,
211,Cooking Mama,DS,Majesco,Office Create,6.6,,5.66,2006,
212,Tetris,NES,Nintendo,Nintendo,,,5.58,1989,
213,Super Mario Advance,GBA,Nintendo,Nintendo EAD,8.2,,5.57,2001,
214,Assassin's Creed II,PS3,Ubisoft,Ubisoft Montreal,9,,5.57,2009,03rd Jan 18
215,Super Smash Bros.,N64,Nintendo,HAL Laboratory,8.4,,5.55,1999,11th Apr 18
216,Assassin's Creed,X360,Ubisoft,Ubisoft Montreal,8.2,8,5.55,2007,
217,Batman: Arkham City,PS3,Warner Bros. Interactive,Rocksteady Studios,9.6,,5.54,2011,
218,Forza Motorsport 3,X360,Microsoft Game Studios,Turn 10 Studios,9.2,9.8,5.5,2009,
219,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Level 5,8.6,,5.5,2010,
220,Final Fantasy IX,PS,Square,SquareSoft,9.2,,5.5,2000,
